,출원인,출원일,출원번호,astrtCont,bigDrawing,drawing,indexNo,발명명칭,IPC분류,openDate,openNumber,공개일,publicationNumber,등록일,registerNumber,등록상태,검색 키워드
104,발레오 샬터 운트 센소렌 게엠베아,20231212,1020257023250,"본 발명은 갓길(22) 주행이 허용 및/또는 금지되는지에 대한 정보를 자동차(1)에 제공하기 위한 방법에 관한 것으로, 자동차(1)의 주변 환경을 서술하는 센서 정보(11)를 제공하는 단계(S2)와, 자동차(1)가 주행 중인 도로(20)에 갓길(22)이 있는지를 서술하는 갓길 정보(13)를 결정하는 단계(S3)와, 도로(20)에 갓길(22)이 있다면, 갓길(22)이 적어도 일시적으로 개방되거나 또는 갓길(22) 주행이 금지된다고 서술하는 교통 표지(25)를 서술하는 도로 표지 정보(15)를 결정하는 단계(S5)와, 갓길(22)이 주행 차로(21)로서 허용되는지를 검사하는 단계(S6)를 포함하며, 허용된다면, 통지 메시지(16) - 상기 메시지는 적어도 갓길(22) 주행이 허용된다고 서술함 - 가 제공(S7)되고/되거나, 허용되지 않으면, 경고 메시지(19) - 상기 경고 메시지는 적어도 갓길(22) 주행이 금지된다는 것을 서술함 - 가 제공된다.",http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c934719fa4b07931921a65cd5feaa1126b9a1e36eb3f11c0b8bc3912d1d68ffffefc6ab57982c4ace928e5f8acef6d1d5f5b3aa478959c07947,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cf79bddb8025c59b6674c8fd0d6e42d169e6958323aa71ac7f52621c881a9d51191abce64e497cacd8cca089bbddacbdc8b06a84770cf1f6dd,5,갓길 주행의 허용 및/또는 금지에 대한 정보를 자동차에 제공하는 방법,B60W 50/14|B60W 40/06,20250801,1020250116772,,,,,공개,주행
105,주식회사 웨이브에이아이,20230918,1020230124007,"자율주행 기반 다목적 추종 이동체 및 그 제어 방법이 개시된다. 본 발명의 일 측면에 따른 자율주행 기반 다목적 추종 이동체는, 촬영모듈, 주행모듈, 및 촬영장치 및 주행모듈과 연결되는 프로세서를 포함하되, 프로세서는, 촬영모듈을 통해 획득된 영상 데이터에서 적어도 하나의 객체를 검출하고, 검출된 각 객체의 자세(pose)를 인식하며, 인식된 자세에 기초하여 추종 대상이 되는 타겟객체를 검출하고, 타겟객체를 추종하면서 이동하도록 상기 주행모듈을 제어할 수 있다.",http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c9313e77757a350d264139b6bd65e56cd9b0d590a5f6b7de1ba301035fa522f7347ba2af51633e3b0e0ac614383666a4064d09af2ffe744204f,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cfecdce7ecbcb3ece85133e7330ef6b59f74a661fcb3eabc78385254f06c5195fc79df7b3dca1294a0182acbd86ae27205ed6c354535929982,6,자율주행 기반 다목적 추종 이동체 및 그 제어 방법,G05D 1/20|G06V 40/10|G06V 10/74|G06T 7/70|G05D 1/00,20250325,1020250041374,,,,,공개,주행
106,(주)테슬라시스템,20231106,1020230151411,"본 발명은 도로변에 설치되는 인프라 시스템에서 자율 협력주행을 위한 돌발상황을 인식하는 장치 및 이를 이용한 인식 방법에 관한 것으로, 보다 상세하게는 인프라에 설치된 카메라 및 라이더 센서로부터 데이터를 수집하는 센서데이터 수신부, 수집된 데이터를 기초로 동적 객체를 검출하고 추적하는 동적객체 검출 및 추적부, 동적 객체의 이동경로를 예측하는 동적객체 이동경로 예측부, 지도정보를 수신하는 맵 데이터 수신부, 수집된 데이터로부터 돌발상황을 인식하는 돌발상황 인식부 및 인식된 돌발상황 정보를 송신하는 데이터 송신부로 이루어지는 것을 특징으로 하는 자율 협력주행을 위한 돌발상황을 인식하는 장치 및 이를 이용한 인식 방법에 관한 것이다.",http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93fd389e8834c6e75a60b22cd3bfc80b3e531dde824094af698fc618d580b6670aba40ec2694b150c01cb39ce0587857e347ea465dd0976b81,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cf445854bf8f322c6276d4421e43906e7b525cfd6ffe805dd3c6f59709227b7e3e0c31765bb3418772922c32965af6f6b25cd6f8289d8f34c9,7,자율 협력주행을 위한 인프라에서 돌발상황 인식 장치 및 이를 이용한 방법,B60W 40/02|B60W 50/00|B60W 60/00|H04W 4/40|G06T 7/11,20250514,1020250066496,,,,,공개,주행
107,가부시끼 가이샤 구보다,20191216,1020190167732,"본 발명의 과제는 포장을 출입의 용이성이 확보되면서 자동 주행 제어가 가능한 파식계 작업기 및 파식계 작업기의 자동 주행 제어 시스템을 제공하는 것이다.  항법 위성을 사용하여 주행 기체(C)의 위치를 검출 가능한 위성 측위 유닛과, 포장에 대한 종묘의 파식 작업이 가능한 작업 장치와, 주행 기체(C)가 파식 작업을 행하면서 주행하는 목표 주행 경로(LM)를 포장 형상에 기초하여 설정 가능한 경로 설정부와, 주행 기체(C)의 위치에 기초하여, 목표 주행 경로(LM)를 따라 주행 기체(C)가 주행하도록 제어하는 자동 주행 제어가 가능한 자동 주행 제어부가 구비되어 있다. 경로 설정부는, 작업 장치의 작업 폭에 걸쳐서 작업 장치가 파식 작업을 행하면서 주행 기체(C)가 포장을 주회 주행하는 주회 주행 경로보다도 포장 내측에 목표 주행 경로(LM)를 설정 가능하게 구성되어 있다.  또한, 본 발명의 다른 과제는 장애물과의 접촉을 회피하면서 고정밀도로 자동 주행 제어가 가능한 파식계 작업기 및 파식계 작업기의 자동 주행 제어 시스템을 제공하는 것이다.  항법 위성을 사용하여 주행 기체(C)의 위치를 검출 가능한 위성 측위 유닛과, 포장에 대한 종묘의 파식 작업이 가능한 작업 장치와, 주행 기체(C)가 파식 작업을 행하면서 주행할 복수의 목표 주행 경로(LM)를 포장 형상에 기초하여 서로 평행하게 늘어서는 ...(이하생략)",http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=2ba38663aa11ff0f6ca91af6061a2e00e82fdb144fccf13945522231f31c64cf5c83d52df5218895abc06e244da0a2e3a67350100e9a51d079f59b10d6091d63701b84800f449309,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cfd4f80ad81e6736068e1fd3b394897d230b3008c6cc1d02e30da5bbc23b4c02fd55f664cec650efd6785144e084ed4072e545008be70ec9c8,8,"파식계 작업기 및 파식계 작업기의 자동 주행 제어 시스템, 포장 작업차 및 주행 경로 생성 시스템",G05D 1/20|A01C 11/02,20200701,1020200078359,,,,,공개,주행
108,한림대학교 산학협력단,20240125,1020240011771,"차량에 구비되는 전자 장치 및 이의 제어 방법이 개시된다. 본 개시에 따른 전자 장치의 제어 방법은, 주행 중인 차량의 전방 이미지를 획득하는 단계; 전방 이미지를 차선 탐지 모델에 입력하여 전방 이미지에 포함된 차선을 식별하는 단계; 식별된 차선에 기초하여 차량이 도로의 1차로에서 주행 중인지 여부를 식별하는 단계; 차량이 1차로에서 주행 중이면, 전방 이미지를 객체 탐지 모델에 입력하여 차량보다 앞서 주행 중인 선행 차량을 식별하는 단계; 식별된 선행 차량이 2차로에서 주행 중인지 여부를 식별하는 단계; 및 2차로에서 주행 중인 선행 차량이 기 설정된 시간 이상 식별되지 않으면, 차량의 1차로 주행이 부적합한 것으로 판별하는 단계;를 포함할 수 있다.",http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c934719fa4b079319210f9db472c6898b4cb8adb16fcd1f82a1bd8c33c2c2cb81e160ed640b85d3c90a01a3d92e45c06737d20a1dabb148503f,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cf79bddb8025c59b6680fbb1683de18d18395eaf7c404b1f1728d0da37596bcf603e845a399ee4f9c52b4e010f2823d75debbe010fe9dd9cb7,9,차량의 부적합한 1차로 주행을 판별하는 전자 장치 및 이의 제어 방법,G08G 1/16|G08G 1/017|G08G 1/056|G08G 1/0968|G08G 1/0967|G08G 1/0962|G06V 20/56|G06V 10/82,20250801,1020250116448,,,,,공개,주행
109,르노 에스.아.에스.,20220429,1020237041486,"적어도 하나의 인식 수단(21) 및 자율 주행 차량(100)의 환경의 실제 기반구조를 나타내는 저장된 디지털 데이터를 포함하는 제1 맵(M1)을 갖춘, 자율 주행 차량(100)의 제어 방법에 있어서, 상기 제어 방법은, ・ 상기 자율 주행 차량(100)의 제1 궤적(T1) 및 이에 연관된 제1 운동학적 프로파일(P1)을 정의하는 단계(E1); ・ 상기 적어도 하나의 인식 수단(21)에 의해 전송된 데이터로부터, 상기 제1 궤적(T1)의 주어진 세그먼트(S) 상에서 최적화되어야 할 상황을 검출하는 단계(E2) - 상기 주어진 세그먼트(S)는 상기 적어도 하나의 인식 수단(21)의 최대 검출 거리(DLIM)보다 짧은 거리에 걸쳐 상기 자율 주행 차량(100)의 전방에 위치해 있는 것임 -; ・ 상기 제1 맵(M1) 및 상기 제1 운동학적 프로파일(P1) 중 적어도 하나의 요소를 최적화하는 단계(E3) - 상기 제1 맵을 최적화하는 것은 상기 주어진 세그먼트(S) 상에서 국부적인 맵(M2)을 결정하는 것을 포함하고, 그리고/또는 상기 제1 운동학적 프로파일(P1)을 최적화하는 것은 상기 주어진 세그먼트(S)에 연관된 제2 운동학적 프로파일(P2)을 결정하는 것을 포함하며, 상기 제2 운동학적 프로파일(P2)의 적어도 하나의 파라미터는 상기 제1 운동학적 프로파일(P1)의 파라미터와는 다른 것임 -; ・ ...(이하생략)",http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93a89b482ba757ab917b57c937fa74d4b028c8eb2023e64f6d7850c7e426bde70f029d2a351d417bc548256892112fd14bd20416d62911d2e3,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cf8dd0a54ed460deebf4dda3278abfd6ec556ed10458e0184bbeb3ff8b83053ec411e725174e93732da9650fdb504ba23f03fe447f36fcb905,10,자율 주행 차량의 제어 방법,B60W 60/00|B60W 30/095|B60W 30/18|G01C 21/34,20240112,1020240005836,,,,,공개,주행
110,주식회사 다리소프트,20200311,1020200030037,"차량의 위치 정보와 주행 상태 정보를 기초로 도로 상태 정보의 공유를 가능하게 하는 정보 공유 서버 및 그 동작 방법이 개시된다. 본 발명에 따른 정보 공유 서버 및 그 동작 방법은 복수의 회원들의 차량 중 제1 차량에 탑재되어 있는 모니터링 장치로부터 진동 감지 신호가 수신되면, 상기 모니터링 장치로부터 마지막으로 수신된 상기 제1 차량의 위치 정보를 확인하고, 상기 모니터링 장치로부터 수신된 상기 제1 차량에 대한 n개의 주행 상태 정보들을 기초로 상기 제1 차량의 위치 정보에 따른 지점의 현재 도로 상태를 확인한 후, 상기 제1 차량의 위치 정보와 상기 확인된 현재 도로 상태를 서로 대응시켜 도로 상태 데이터베이스에 저장함으로써, 상기 복수의 회원들 간에 차량의 위치 정보와 주행 상태 정보를 기초로 하는 도로 상태 정보의 공유가 가능하도록 지원할 수 있다.",http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=2ba38663aa11ff0f6ca91af6061a2e00aa6945f0c63bca2f45b1a3ffdaa89ecb321c355646ef11090dede05d3468a7bc4d2cf0fafa0f5d6b2fcb3b51cab3c464a4855cbcecc2d06b,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cf3e44b8e185964e7cef9850dd6ec505ebce730578925449bccafb31a0db0f196aca644021794e5dee93f34dc6f9d0e05fc83a58cf199a2aa9,11,차량의 위치 정보와 주행 상태 정보를 기초로 도로 상태 정보의 공유를 가능하게 하는 정보 공유 서버 및 그 동작 방법,G08G 1/0967|G06Q 50/40,,,20200824,,20200818,1021475400000,등록,주행
111,에이치엘만도 주식회사,20230818,1020230108107,"본 발명은 차량 외측의 감지 영역을 가지고, 레이더 센서값을 출력하는 레이더 모듈, 상기 차량 외측의 시야를 가지고, 이미지 센서값을 출력하는 카메라 모듈, 상기 레이더 센서값 및 이미지 센서값에 기초하여 객체를 감지하고, 상기 객체에 대한 센서 퓨전을 수행하여 퓨전 트랙을 생성하는 센서 퓨전 모듈 및 상기 차량의 운행 정보에 기초하여 상기 차량의 우회전 여부를 판단하고, 상기 차량의 내비게이션이 제공하는 내비게이션 정보 및 상기 이미지 센서값에 기초하여 차로 정보를 획득하는 제어 모듈을 포함하고, 상기 제어 모듈은, 상기 차로 정보 및 퓨전 트랙에 기초하여 우회전 시 상기 객체와의 충돌 위험도를 판단하고, 상기 판단에 따라 미리 설정된 제어를 수행하는 주행 보조 시스템 및 그 제어 방법에 관한 것으로, 비보호 우회전시 사각지대에 존재하는 잠재적 위험요소를 사전에 판단하여 대응할 수 있다.",http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c931c12830797ea2496843880fd8e11c05482bf9fc880c0122d5d572623cbc3312b54ee49800cd65af6b5236f40e8898215892ef908abc8c6d0,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cf1e4b3e2cf2e2cd497f43f5ca562ed311769ea2444b1268015c3c975b4d33ff6ff2d69f47e366ac1f3484bb22ab023eb23596e921ad6c3ce3,12,주행 보조 시스템 및 그 제어 방법,B60W 30/09|B60W 40/02|B60W 10/18|B60W 50/14|B60W 30/095,20250226,1020250027396,,,,,공개,주행
112,르노 에스.아.에스.,20200821,1020227011862,"본 발명은 자동차의 저속 또는 제로 속도 기동을 위한 자율 주행의 방법에 관련되며, 차량의 속도가 0 또는 실질적으로 0 또는 특히 1km/h와 동일한 임계값 이하인 동안 상기 차량의 조향 휠들의 배향을 수정하는 단계를 포함한다.",http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c931c116849b53c160cafdd76ef458a98515fae887bae417553c9ef5d07ff801f08ebb65c4c7386bc183e758932169232226889adf30d488015,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cfd4358b69e8055da16da413fc4b2317f8d288e059fffcd1eb8fe9a94127ff5a5e5ee114a0e749c313459b968e858bf99841ce4c7455aeb4fb,13,자동차의 자율 주행 시동을 위한 방법,B60W 60/00|B60W 40/105|B60W 30/182|B60W 30/10|G06F 9/06|B60W 10/06|B60W 10/20|B60W 30/095|B60W 50/00,20220504,1020220056243,,,,,공개,주행
113,세메스 주식회사,20200821,1020200105204,"비히클의 주행 유닛은, 주행 레일과 접촉하는 주행 휠들을 갖는 주행부와, 상기 주행부에 구비되며, 상기 주행 휠들을 회전시키기 위한 모터 및 상기 모터의 회전축과 상기 주행 휠들의 좌우측 구동축을 연결하도록 구비되며, 상기 주행 레일의 곡선 구간에서 상기 주행 휠들 중 좌측 주행 휠들과 우측 주행 휠들의 회전 속도 차이를 보상하는 차동 기어부를 포함할 수 있다.",http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93fa9d95005e8e5e8a6efe5350815fe3cd18423db97f20ed19a5045caa87b990f1e8a58fc61b5bfb3f0544a1c8db9f8c6f9cf16f66cd753f72,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cfbc0611bcc707d6331b805b38e8dab8cf98f0c033bf7661ec9cef1208c8be5c1e1b41abe0687646903b761c22553d7cd72f41489bd4525d1e,14,주행 유닛 및 이를 갖는 비히클,H01L 21/677|B65G 1/04,20220302,1020220023460,,,,,거절,주행
114,르노 에스.아.에스.,20200929,1020227014216,"자동차의 제어 장치로서, 액츄에이터에 대한 명령 신호를 생성할 수 있는 차량의 종방향 및 횡방향 이동의 컨트롤러(3, 8)를 포함하여, 차량은 보조-주행 또는 자동-주행 모드로 계획된 경로를 따라가고, 횡방향 컨트롤러로부터의 출력은 계획된 경로 상의 도로의 곡률로부터 얻은 원하는 요방향 각속도 및 측정된 종방향 속도와 측정된 조향각을 기초로 차량의 동적 거동 모델에 의해 추정된 차량의 현재 요방향 각속도 사이의 오차를 최소화하는 것을 기반으로 하며, 상기 장치는, 요방향 각속도의 측정된 값 및 추정된 값 사이의 비교의 함수로서, 차량의 실제 동적 거동과의 차이가 있는 경우 모델의 파라미터를 동적으로 수정할 수 있는 모듈(11)을 포함한다.",http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93910da03383f399b0eb0f246669eb32ff8853c228e548f61023d4fc6057487489cfbbc279e1f8630fe4e0018a14c65e69592fcd4d7f4c801b,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cf95130690430de66550a46363ef9699ce8c636e9bfdea8c2064725debd95cb74f7fe6484cdc3590b6bb640bdd7cc98a2e605aa7896788f810,15,자율주행 자동차를 위한 제어 장치,B60W 50/00|B60W 50/04|B60W 30/10|B60W 60/00|B60W 40/072|B60W 40/114|B60W 30/18|B60W 50/14,20220525,1020220068264,,,,,공개,주행
115,국무상,20180702,1020180076587,"본 발명은 물품창고를 입고공간과 출고공간으로 구분하여 물품의 입고 및 출고를 효과적으로 수행할 수 있도록 하고, 자율주행하는 대차에 화물차를 안착시킨 상태로 물품창고의 내부로 이동하도록 하고 대차 위의 화물차에 직접 물건을 적재 또는 하역하도록 하고, 화물차의 적재량을 측량하여 과적을 방지할 수 있으며, 물품창고에 위치하는 복수의 대차(화물차)의 위치를 모니터하여 이동시 서로 충돌하지 않고 효과적으로 이동할 수 있도록 하고, 원하는 층으로 화물차와 함께 이동할 수 있도록 대차승강기를 구비하는 등 물품의 입고 및 출고를 효과적으로 수행할 수 있도록 하는 자율주행대차 및 대차승강시스템을 구비하는 물류시스템을 제안한다.",http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=2ba38663aa11ff0f6ca91af6061a2e00aaad4437553b0519dbf6ebf54816a4ed05c4f9db72bdf9490b7dd89f9aaa395267b29f012c255b9477c6dae8637809cbda32bf1c2537389f,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cfd185a96304fb60a6958540255626e24947e2b255bd0e8bbd7140abae7f0d927465eefd356c8a9cf06a4dc6986577b9dcdf8f0616f61c14d4,16,자율주행대차 및 대차승강시스템을 구비하는 물류시스템,G06Q 10/08|B65G 1/06|G06Q 10/06|G06Q 10/04,,,20180830,,20180726,1018842320000,등록,주행
116,충남대학교산학협력단,20191113,1020190144900,"본 발명에 의한 주행보조장치는, 전방 카메라와 후방 카메라가 설치된 사이드 미러; 스마트폰과 통신할 수 있는 근거리통신부; 제어부; 스마트폰;를 포함하고, 상기 제어부는 전방 카메라와 후방 카메라으로부터 수신한 촬영영상을 근거리 통신부를 통해 스마트폰에 전송할 수 있고, 상기 스마트폰은 수신한 촬영영상을 주기적으로 업로드하고, 상기 스마트폰은 차량 운행시 차선을 차선을 침범하는 것으로 판단되면 차선 침범 경고신호를 출력하고, 상기 스마트폰은 차량 정차 후 차문을 열 때 물체가 접근하는 것으로 판단되면 경고신호를 출력하는 것을 특징으로 한다.",http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93b6c91eee3adbc8e7fa78d75407fc710eabc63a5150225e04a60a376c0b62b946607e5d4452a2722b9328d2855e2d8f4879e27f0b6d7f815a,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cfea8f7394c01ae68e4a2cfe23adc2f2fe622bf4772f8aad62a16d7175d9ae11b38fb64c30ef11cc88b32aafae3de32b0aa02046e98160b0b1,17,주행보조장치,B60K 28/10|B60R 1/12|B60R 21/0134|B60W 50/14|B60W 30/18,20210524,1020210058013,20210819,,20210813,1022917200000,등록,주행
117,(주)랩투마켓,20221229,1020220189766,"본 기술은 슬립현상을 방지할 수 있는 사륜구동방식을 취하되 유지보수가 용이한 주행장치에 관한 것으로, 더욱 상세하게는 레일 또는 트랙 위에서 주행하며, 화물을 이송하기 위한 주행장치에 있어서, 상기 주행장치는 사륜구동방식의 모듈화된 사륜주행수단을 포함하되, 상기 사륜주행수단은 베이스에 서로 이웃하는 간격조절이 가능하도록 구비되는 한 쌍의 설치플레이트와, 한 쌍의 상기 설치플레이트 중 적어도 어느 하나에 회전가능하게 설치되는 메인구동모터 및 한 쌍의 상기 설치플레이트 외면에 상기 메인구동모터와 연결된 연결부재에 의해 동력이 전달되어 회전할 수 있도록 설치되는 바퀴부재를 포함하는 것을 특징으로 한다.",http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93682c07fb8a838fae6ce52040beab13b73a29373c0a68217caec1ad0093bc5e0dba57908d9a704c0295012457e38b5d5ab61a8e503d1525f4,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cff99f7a23f3e0ea420f119d6cf18e753baee177464d5936ddd36cce136976ab90a096e1dea64fdb71631a8c3ffe7c07afd1f08e5b2346b3cf,18,셔틀시스템용 사륜구동구조의 주행장치,B65G 1/04|B65G 1/06|F16C 17/02|F16C 33/04,20240708,1020240106748,,,,,공개,주행
118,정자영,20210428,1020210054902,"본 발명은 자율주행로봇과 무선 통신하고, 자율주행로봇으로부터 수신한 출발층 정보 및 목표층 정보를 포함한 승강기 호출신호를 라우터를 통해 승강기제어모듈로 송신하는 중앙서버; 승강기가 이동하거나 정지하는 승강로에 설치되되, 중앙서버와 유선 통신으로 연결되고, 승강기제어모듈과 무선 통신으로 연결되어 중앙서버와 승강기제어모듈 사이에서 신호를 중계하는 라우터; 승강로 또는 승강기에 설치되어 승강기가 현재 위치한 현재층을 감지하여 현재층 정보를 승강기제어모듈로 실시간으로 전송하는 층감지모듈; 승강기에 설치되고 컨트롤보드와 전기적으로 연결되어 층 선택과 도어 개폐를 제어하는 승강기제어모듈; 및 출발층 정보 및 목표층 정보를 포함하는 승강기 호출신호를 중앙서버로 무선 송신하고, 센서부가 설치되어 장애물을 회피하면서 자율주행로봇의 맵저장부에 저장되어 있는 주행환경지도에 설정된 좌표로 스스로 주행하는 자율주행로봇을 포함하는 자율주행로봇의 층간 이동 제어 시스템 및 제어 방법을 제공한다.",http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c933a91fc5bd622c8276fbb0aa61ba6bd98cca2983b0ece3aec27415821351b71c0af62ef39818c6312abb71fbbf8e1be29bda054ab33c17523,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cf65ad5966fbb0ce09fd815411ca9ca911d65e1dde69b095efeb13ed1047eb5a52fdb7cf5589ce78aa9c5a9fbaf48106e3c096e3ef29ca6491,19,자율주행로봇의 층간 이동 제어 시스템 및 제어 방법,G05D 1/20|H04W 4/33|G01B 21/02|G08G 1/16,,,20220816,,20220811,1024334380000,등록,주행
119,주식회사 엠큐닉,20231108,1020230153746,"본 기술은 자율 주행 시스템 및 방법이 개시되어 있고, 본 기술에 대한 구체적인 실시예에 의거하면, 현장에서 실시간으로 획득된 이벤트에 대한 교통정보를 현장 도로를 주행 중인 자율주행차 단말로 배포하고, 소정 시간 주기로 수신된 다수의 주행도로영상 및 주행위치를 토대로 획득된 이벤트에 대한 교통정보를 동적정보로 생성하여 생성된 동적정보 식별자 및 URL 정보를 상기 주행위치의 인접 도로를 주행 중인 자율주행차 단말로 배포함에 따라 완전한 자율 주행을 수행할 수 있고, 이에 자율 주행에 대한 안정성 및 신뢰도를 근본적으로 향상시킬 수 있다.",http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93431a24b4618a3c861f096ae3b51150798ef0b3445e3fb9bea9d1b7d834612f31e9a119b7bdd2156e7ffd6fb976c175200172ef2f4ffb84d5,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cf2d1fbb3c52754cf5064c0750ebe615daced5166a8537ab01a1ee37b4c9d8233bd192fa5a4519783193a5f9da6130c5457f2b15b696ed619a,20,자율 주행 시스템 및 방법,G08G 1/0967|G06V 20/54|G06V 20/58|B60W 40/04,20250515,1020250067529,,,,,공개,주행
120,윤재순,20220215,1020220019531,"본 발명은 3인칭 시야를 갖는 무인차 자율주행을 위한 드론 커플링 교통 체계 시스템에 관한 것으로, 항공을 비행하며, 차량방향의 카메라(101)가 장착되어 차량의 자율 주행을 제어하는 드론부(100), 상기 드론부(100)와 연계되어 상기 드론부(100)의 제어에 따라 자율주행을 수행하며, 드론방향의 카메라(201)가 장착되어 상기 드론부(100)에 대한 항공 비행을 제어하는 무인차(200), 및 상기 드론부(100)와 상기 무인차(200) 간의 원활한 제어 교신을 중계하며 상기 드론부(100)와 상기 무인차(200) 모두를 통합적으로 제어 관리하는 관제서버(300)를 포함하되, 상기 차량방향의 카메라(101)와 상기 드론방향의 카메라(201)의 구성에 따라, 상기 드론부(100)는 상기 무인차(200)의 자율 주행을 3인칭의 시야로 제어하여 상기 무인차(200)의 자율 주행에 대한 안전성을 도모하는 한편, 상기 무인차(200)는 상기 드론부(100)의 자율 비행을 3인칭의 시야로 제어하여 상기 드론부(100)의 자율 비행에 대한 안전성을 도모하게 되는 3인칭 시야를 갖는 무인차 자율주행을 위한 드론 커플링 교통 체계 시스템을 제공하고자 한다.",http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93868d186cba78672b61e39a1435f9e7300b25e4388643bcc958891796ff24550800da10bffbfcfb00266352ea014e2cfbfa4ef234a928270d,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cf0e55142fb8810c4721ebe91c3a4d1525ae32d3e917f0cf04de1a838a0cb570feedeffac8dab50f614645d2f255f2335cada148d47ffac9d0,21,3인칭 시야를 갖는 무인차 자율주행을 위한 드론 커플링 교통 체계 시스템,G06Q 50/10|G05D 1/00|G08G 1/0962|G08G 1/16|B64C 39/02|B64U 101/30,20230822,1020230122827,,,20250729,1028413000000,등록,주행
